,Mach_distilroberta,Psyc_distilroberta,Narc_distilroberta,Mach_miniLM,Psyc_miniLM,Narc_miniLM,Mach_mpnetNarc_mpnet,Psyc_mpnet,ML3_item_mpnet,Mach_Wulff,Psyc_Wulff,Narc_Wulff,Mach_e5,Psyc_e5,Narc_e5,Mach_mpnet_en,Psyc_mpnet_en,Narc_mpnet_en,Mach_t5,Psyc_t5,Narc_t5,Mach_avg_transf,Psyc_avg_transf,Narc_avg_transf
I.tend.to.manipulate.others.to.get.my.way,0.977,-0.169,0.097,0.972,-0.185,0.125,1.029,-0.24,0.673,0.907,-0.224,0.248,0.72,-0.124,0.387,0.671,0.171,0.053,1.162,-0.125,-0.072,1.073,-0.219,0.037
I.have.used.deceit.or.lied.to.get.my.way,0.973,0.054,-0.337,0.833,0.272,-0.516,0.673,-0.181,0.597,0.55,0.011,0.04,1.113,0.055,-0.228,1.105,-0.011,-0.487,1.021,0.174,-0.28,0.889,0.147,-0.333
I.have.use.flattery.to.get.my.way,0.731,-0.088,0.054,0.44,0.389,-0.094,0.72,0.027,0.234,0.745,-0.267,0.239,1.002,-0.153,0.094,0.924,-0.47,0.279,0.63,-0.161,0.455,0.616,-0.083,0.224
I.tend.to.exploit.others.towards.my.own.end,0.853,-0.007,0.048,1,-0.4,0.263,0.801,-0.025,0.646,0.814,-0.122,0.284,0.326,0.143,0.49,0.492,0.166,0.205,0.563,0.249,0.152,0.858,-0.092,0.104
I.tend.to.lack.remorse,-0.219,1.057,-0.153,-0.054,0.706,-0.036,-0.303,0.986,0.527,-0.279,0.763,0.304,-0.017,0.844,0.119,0.065,0.727,-0.106,-0.079,1.054,-0.031,-0.211,1.002,-0.042
I.tend.to.be.unconcerned.with.the.morality.of.my.actions.,-0.059,0.874,-0.095,0.154,0.627,-0.067,-0.342,0.94,0.598,-0.259,0.642,0.097,0.171,0.646,0.102,-0.236,1.009,-0.099,-0.098,1.047,-0.018,-0.089,0.962,-0.141
I.tend.to.be.callous.or.insensitive,-0.016,0.792,0.025,-0.049,0.81,0.043,0.059,0.685,0.446,-0.111,0.672,0.138,-0.037,1.004,-0.016,0.031,0.682,0.111,0.173,0.706,0.054,0.025,0.787,-0.012
I.tend.to.be.cynical,0.004,0.705,0.054,-0.073,0.606,0.229,-0.01,0.684,0.386,-0.249,0.672,0.239,-0.21,0.957,0.201,-0.003,0.484,0.134,0.132,0.702,0.092,-0.053,0.695,0.109
I.tend.to.want.others.to.admire.me,-0.173,-0.055,1.083,-0.256,0.111,1.025,0.441,0.549,0.001,0.055,0.274,1.071,0.115,-0.068,0.937,-0.025,-0.11,0.932,-0.126,-0.026,1.116,-0.247,-0.069,1.184
I.tend.to.want.others.to.pay.attention.to.me,-0.143,0.049,0.927,0.147,0.072,0.688,0.52,0.414,0.205,0.176,0.111,0.63,0.184,-0.1,0.895,-0.096,0.049,0.879,0.272,-0.167,0.842,0.029,-0.031,0.848
I.tend.to.seek.prestige.or.status,0.109,0.081,0.581,0.103,0.083,0.602,0.505,0.327,0.228,0.472,0.009,0.403,0.26,0.476,0.215,0.097,-0.032,0.649,-0.067,0.233,0.77,0.162,0.054,0.578
I.tend.to.expect.special.favors.from.others,0.101,-0.14,0.823,-0.14,0.061,0.827,0.422,0.402,0.245,0.133,0.276,0.419,0.203,0.132,0.626,0.141,0.198,0.417,0.184,0.073,0.677,0.117,0.065,0.609